id,name,category,price,stock,description
1,iPhone 15,Phone,241.16,28,Measure local carry set start star ever apply.
2,Samsung Galaxy S23,Phone,1309.71,20,Indicate world citizen fast mother indicate data yeah evidence none plant.
3,Google Pixel 7,Phone,755.84,42,Year customer your whatever everyone recently morning surface.
4,OnePlus 11,Phone,120.57,12,Address for tonight series history pick voice few city pick home economy set beautiful.
5,MacBook Air M2,Laptop,1713.22,18,Food throughout bar myself must cultural week cost road feel vote whom generation arm.
6,Dell XPS 15,Laptop,961.14,25,Mouth world ground eye daughter radio blood woman continue drive from myself low.
7,Lenovo ThinkPad X1,Laptop,635.61,42,Dream including tell own order pattern owner though head major.
8,ASUS ROG Strix,Laptop,591.33,24,Central road first more see board prove between more Democrat according operation will foot.
9,iPad Pro,Tablet,1724.18,49,Everyone father those reflect discover statement section leave race too continue believe major cost stand.
10,Samsung Galaxy Tab S8,Tablet,1636.62,43,Government interesting sound car work institution create less right should require election feeling.
11,Microsoft Surface Pro 9,Tablet,1662.72,47,Structure history community unit card return suffer class including dark again only why better writer force.
12,Apple Watch Series 8,Smartwatch,1142.98,45,Last try bit character director scientist reduce hair.
13,Samsung Galaxy Watch 5,Smartwatch,923.38,18,Difference the true in other simply water left fund.
14,Garmin Fenix 7,Smartwatch,1320.83,8,West raise building bring shoulder scientist model environmental church somebody.
15,Sony WH-1000XM5,Headphones,479.81,34,Wait standard require protect air agreement cut imagine such fill.
16,Bose QC45,Headphones,391.5,2,Many enter matter debate reason work present avoid reduce candidate poor simple.
17,AirPods Pro,Headphones,1426.16,25,Common future market prepare alone call safe east coach true effect father onto think.
18,Sennheiser Momentum 4,Headphones,1017.7,29,American general mind reality study director friend wife according it soldier stage protect issue organization cold.
19,PlayStation 5,Gaming Console,91.67,3,Child whether career instead week purpose special.
20,Xbox Series X,Gaming Console,204.79,18,Be dark child speak week hold miss common sometimes age law throw.
21,Nintendo Switch OLED,Gaming Console,811.03,36,Race beat however hour seek son baby up police model.
22,Amazon Echo,Smart Home,506.62,28,Official police enjoy national medical can party for huge artist watch finally leave executive positive.
23,Google Nest Hub,Smart Home,1020.45,10,Less participant interview explain fast sport position what such major authority himself these.
24,Philips Hue Smart Bulb,Smart Home,683.74,27,Sport check foreign wrong thus popular page make save size size somebody want often before realize.
25,Logitech MX Master 3,Accessories,1729.03,34,Final particularly serve late season seven industry administration radio address nation voice offer woman fill.
26,Anker Power Bank,Accessories,1402.35,22,Tree last Democrat same different participant candidate.
27,Razer Gaming Mouse,Accessories,356.56,0,Member majority anything official professional career study radio second eye key.
